Продажа;Время;Купюрами;Монетами;Банк. картой;Картой;Моб.приложение;Сдача;Итого;Розлито;На сумму
7767;2023.10.18 17:10:52;0;20;0;0;0;0;20;5;20
7766;2023.10.18 17:02:33;0;19;0;0;0;0;19;4,7;19
7765;2023.10.18 17:01:21;0;18;0;0;0;0;18;4,4;18
7764;2023.10.18 16:19:30;0;4;0;0;0;0;4;1;4
7763;2023.10.18 15:00:09;0;20;0;0;0;0;20;5;20
7762;2023.10.18 14:05:23;0;0;20;0;0;0;20;5;20
7761;2023.10.18 14:04:07;0;0;20;0;0;0;20;5;20
7760;2023.10.18 10:17:12;0;0;20;0;0;0;20;5;20
7759;2023.10.18 10:15:46;0;0;40;0;0;0;40;10;40
7758;2023.10.17 21:09:24;0;10;0;0;0;0;10;2,4;10
7757;2023.10.17 21:08:27;0;12;0;0;0;0;12;3;12
7756;2023.10.17 20:09:11;0;20;0;0;0;0;20;5;20
7755;2023.10.17 18:29:38;0;0;20;0;0;0;20;5;20
7754;2023.10.17 18:15:14;0;20;0;0;0;0;20;5;20
7753;2023.10.17 17:31:16;50;0;0;0;0;13;37;9,2;36,96
7752;2023.10.17 14:28:28;0;0;20;0;0;0;20;4,9;19,83
7751;2023.10.17 14:09:25;0;12;0;0;0;0;12;3;12
7750;2023.10.17 14:08:24;0;12;0;0;0;0;12;3;12
7749;2023.10.17 13:39:02;0;0;20;0;0;0;20;5;20
7748;2023.10.17 11:16:49;0;22;0;0;0;0;22;5,4;22
7747;2023.10.17 08:16:36;0;30;0;0;0;10;20;4,8;19,24
7746;2023.10.16 19:49:30;0;45;0;0;0;3;42;10,3;41,25
7745;2023.10.16 18:29:09;100;0;0;0;0;60;40;9,8;39,51
7744;2023.10.16 17:42:38;0;20;0;0;0;0;20;4,8;19,57
7743;2023.10.16 17:38:14;100;0;0;0;0;24;76;18,9;75,74
7742;2023.10.16 15:17:57;0;0;40;0;0;0;40;9,8;39,4
7741;2023.10.16 10:56:10;0;20;0;0;0;0;20;5;20
7740;2023.10.16 10:47:50;0;0;20;0;0;0;20;5;20
7739;2023.10.16 08:14:15;0;50;0;0;0;11;39;9,6;38,56
7738;2023.10.15 21:38:43;0;0;20;0;0;0;20;5;20
7737;2023.10.15 21:37:36;0;0;20;0;0;0;20;5;20
7736;2023.10.15 21:36:19;0;0;20;0;0;0;20;5;20
7735;2023.10.15 18:31:23;0;20;0;0;0;0;20;5;20
7734;2023.10.15 16:19:18;0;44;0;0;0;3;41;10,1;40,5
7733;2023.10.15 15:56:01;0;19;0;0;0;0;19;4,7;19
7732;2023.10.15 12:06:07;0;0;20;0;0;0;20;5;20
7731;2023.10.15 12:04:57;0;0;20;0;0;0;20;5;20
7730;2023.10.15 11:59:25;0;20;0;0;0;0;20;5;20
7729;2023.10.15 11:57:58;0;20;0;0;0;0;20;5;20
7728;2023.10.15 11:55:33;0;19;0;0;0;0;19;4,7;19
7727;2023.10.15 11:51:53;0;0;20;0;0;0;20;5;20
7726;2023.10.15 11:50:44;0;0;20;0;0;0;20;5;20
7725;2023.10.15 11:46:31;0;0;20;0;0;0;20;5;20
7724;2023.10.15 11:44:37;100;0;0;0;0;60;40;9,9;39,99
7723;2023.10.15 11:38:14;0;0;20;0;0;0;20;5;20
7722;2023.10.15 11:36:56;0;0;20;0;0;0;20;5;20
7721;2023.10.15 11:33:13;0;12;0;0;0;0;12;3;12
7720;2023.10.15 11:32:01;0;12;0;0;0;0;12;3;12
7719;2023.10.15 11:27:50;0;0;20;0;0;0;20;5;20
7718;2023.10.15 09:22:18;0;0;20;0;0;0;20;4,9;19,99
7717;2023.10.15 09:18:01;0;0;20;0;0;0;20;5;20
7716;2023.10.15 00:21:45;0;0;20;0;0;0;20;5;20
7715;2023.10.14 17:47:18;0;20;0;0;0;0;20;5;20
7714;2023.10.14 16:00:00;0;20;0;0;0;1;19;4,6;18,6
7713;2023.10.14 15:58:34;0;20;0;0;0;1;19;4,6;18,65
7712;2023.10.14 15:01:48;0;19;0;0;0;0;19;4,7;19
7711;2023.10.14 12:44:39;0;40;0;0;0;0;40;10;40
7710;2023.10.14 11:53:35;0;20;0;0;0;0;20;5;20
7709;2023.10.14 07:57:09;0;0;20;0;0;0;20;5;20
7708;2023.10.14 07:53:42;0;0;20;0;0;0;20;5;20
7707;2023.10.14 07:52:35;0;0;20;0;0;0;20;5;20
7706;2023.10.14 07:22:47;0;0;20;0;0;0;20;5;20
7705;2023.10.13 23:30:32;0;50;0;0;0;0;50;12,4;50
7704;2023.10.13 19:53:42;0;19;0;0;0;0;19;4,7;19
7703;2023.10.13 19:52:13;0;19;0;0;0;0;19;4,7;19
7702;2023.10.13 18:56:52;0;0;76;0;0;0;76;19;76
7701;2023.10.13 18:53:48;0;0;76;0;0;0;76;19;76
7700;2023.10.13 18:30:08;100;0;0;0;0;29;71;17,6;70,71
7699;2023.10.13 17:23:41;0;0;40;0;0;0;40;9,8;39,41
7698;2023.10.13 14:35:36;0;0;40;0;0;0;40;10;40
7697;2023.10.13 14:20:49;50;50;0;0;0;21;79;19,5;78,18
7696;2023.10.13 13:48:30;0;20;0;0;0;0;20;5;20
7695;2023.10.13 13:33:48;0;20;0;0;0;0;20;5;20
7694;2023.10.13 07:46:18;0;10;0;0;0;0;10;2,4;10
7693;2023.10.13 07:46:16;0;5;0;0;0;0;5;1,2;5
7692;2023.10.13 06:01:58;0;20;0;0;0;0;20;5;20
7691;2023.10.13 00:43:13;0;0;20;0;0;0;20;5;20
7690;2023.10.12 22:17:33;0;20;0;0;0;0;20;5;20
7689;2023.10.12 18:37:39;0;0;40;0;0;0;40;4,9;19,66
7688;2023.10.12 18:22:51;0;20;0;0;0;0;20;5;20
7687;2023.10.12 18:02:39;0;40;0;0;0;0;40;10;40
7686;2023.10.12 17:44:55;0;20;0;0;0;0;20;5;20
7685;2023.10.12 17:43:38;0;20;0;0;0;0;20;5;20
7684;2023.10.12 16:51:33;0;20;0;0;0;0;20;5;20
7683;2023.10.12 16:50:19;0;20;0;0;0;0;20;5;20
7682;2023.10.12 11:13:04;0;0;20;0;0;0;20;5;20
7681;2023.10.12 11:11:42;0;0;20;0;0;0;20;5;20
7680;2023.10.12 07:44:58;0;5;0;0;0;0;5;1,2;5
7679;2023.10.11 21:50:15;0;0;20;0;0;0;20;5;20
7678;2023.10.11 21:49:00;0;0;20;0;0;0;20;5;20
7677;2023.10.11 21:39:49;0;0;20;0;0;0;20;5;20
7676;2023.10.11 20:54:34;0;0;20;0;0;0;20;5;20
7675;2023.10.11 20:53:19;0;0;20;0;0;0;20;5;20
7674;2023.10.11 20:06:26;0;20;0;0;0;0;20;5;20
7673;2023.10.11 20:05:21;0;19;0;0;0;0;19;4,7;19
7672;2023.10.11 19:18:33;0;0;40;0;0;0;40;10;40
7671;2023.10.11 19:16:20;0;0;40;0;0;0;40;10;40
7670;2023.10.11 19:14:05;0;0;40;0;0;0;40;10;40
7669;2023.10.11 19:08:36;0;20;0;0;0;0;20;4,8;19,42
7668;2023.10.11 18:52:57;0;20;0;0;0;0;20;5;20
7667;2023.10.11 18:52:10;0;20;0;0;0;0;20;5;20
7666;2023.10.11 17:55:52;0;20;0;0;0;0;20;4,8;19,34
7665;2023.10.11 17:49:22;0;5;0;0;0;0;5;1,2;5
7664;2023.10.11 17:48:48;0;40;0;0;0;8;32;7,7;31
7663;2023.10.11 17:46:28;0;10;0;0;0;0;10;2,4;10
7662;2023.10.11 17:33:22;0;0;40;0;0;0;40;10;40
7661;2023.10.11 17:30:50;0;0;76;0;0;0;76;19;76
7660;2023.10.11 14:16:15;0;0;20;0;0;0;20;4,9;19,87
7659;2023.10.11 13:44:05;0;1;0;0;0;0;1;0,2;1
7658;2023.10.11 10:10:45;0;19;0;0;0;0;19;4,7;19
7657;2023.10.11 09:01:45;0;0;76;0;0;0;76;19;76
7656;2023.10.11 08:58:18;0;0;76;0;0;0;76;19;76
7655;2023.10.11 08:55:23;0;0;76;0;0;0;76;19;76
7654;2023.10.11 07:04:17;0;20;0;0;0;0;20;5;20
7653;2023.10.10 20:58:48;0;19;0;0;0;0;19;4,7;19
7652;2023.10.10 20:57:31;50;10;0;0;0;0;60;15;60
7651;2023.10.10 20:04:44;0;16;0;0;0;0;16;4;16
7650;2023.10.10 19:51:37;0;20;0;0;0;0;20;5;20
7649;2023.10.10 18:20:12;0;20;0;0;0;0;20;5;20
7648;2023.10.10 18:07:43;0;20;0;0;0;0;20;5;20
7647;2023.10.10 18:06:27;0;20;0;0;0;0;20;5;20
7646;2023.10.10 17:42:49;0;20;0;0;0;0;20;5;20
7645;2023.10.10 17:36:02;0;0;40;0;0;0;40;10;40
7644;2023.10.10 17:06:07;0;10;0;0;0;0;10;2,3;9,54
7643;2023.10.10 15:35:42;0;5;0;0;0;0;5;0;0
7642;2023.10.10 14:34:35;0;0;20;0;0;0;20;5;20
