Продажа;Время;Купюрами;Монетами;Банк. картой;Картой;Моб.приложение;Сдача;Итого;Розлито;На сумму
26726;2023.09.24 14:18:51;100;0;0;0;0;0;100;20;100
26725;2023.09.24 13:57:32;0;50;0;0;0;0;50;10;50
26724;2023.09.24 12:29:19;0;25;0;0;0;0;25;5;24,98
26723;2023.09.24 10:52:39;50;10;0;0;0;7;53;10,5;52,81
26722;2023.09.24 10:20:43;0;0;50;0;0;0;50;10;50
26721;2023.09.24 09:49:19;0;25;0;0;0;0;25;5;24,98
26720;2023.09.23 21:39:47;0;0;25;0;0;0;25;5;25,02
26719;2023.09.23 21:38:30;0;0;95;0;0;0;95;19;94,98
26718;2023.09.23 21:26:20;100;0;0;0;0;69;31;6,1;30,98
26717;2023.09.23 19:50:22;0;0;50;0;0;0;50;10;50
26716;2023.09.23 19:09:17;0;5;0;0;0;0;5;1;4,98
26715;2023.09.23 19:08:00;0;10;0;0;0;0;10;1,9;10
26714;2023.09.23 19:06:37;0;1;0;0;0;0;1;0,2;0,98
26713;2023.09.23 19:04:08;0;25;0;0;0;0;25;5;25,02
26712;2023.09.23 19:02:33;0;25;0;0;0;0;25;5;25,02
26711;2023.09.23 18:48:04;0;25;0;0;0;0;25;5;24,98
26710;2023.09.23 18:46:41;0;25;0;0;0;0;25;5;24,98
26709;2023.09.23 18:44:21;0;0;25;0;0;0;25;5;25,02
26708;2023.09.23 18:15:33;0;0;25;0;0;0;25;5;25,02
26707;2023.09.23 17:55:08;0;45;0;0;0;0;45;9;44,98
26706;2023.09.23 17:39:16;0;4;0;0;0;0;4;0,8;4
26705;2023.09.23 17:38:36;0;20;0;0;0;0;20;4;20
26704;2023.09.23 17:14:35;0;50;0;0;0;0;50;10;50
26703;2023.09.23 17:08:19;0;25;0;0;0;0;25;5;25,02
26702;2023.09.23 17:06:26;0;25;0;0;0;0;25;5;24,98
26701;2023.09.23 17:00:34;0;0;25;0;0;0;25;5;24,98
26700;2023.09.23 16:40:29;0;25;0;0;0;0;25;5;25,02
26699;2023.09.23 16:39:26;0;25;0;0;0;0;25;5;25,02
26698;2023.09.23 16:24:04;0;64;0;0;0;0;64;12,8;64
26697;2023.09.23 15:00:16;0;25;0;0;0;0;25;5;24,98
26696;2023.09.23 14:07:53;0;20;0;0;0;0;20;4;20
26695;2023.09.23 13:25:54;0;25;0;0;0;0;25;5;24,98
26694;2023.09.23 13:24:54;0;4;0;0;0;0;4;0,8;4
26693;2023.09.23 13:20:44;0;25;0;0;0;0;25;5;25,02
26692;2023.09.23 13:10:14;100;0;0;0;0;50;50;10;50
26691;2023.09.23 13:05:05;0;35;0;0;0;0;35;7;35,02
26690;2023.09.23 13:03:30;0;20;0;0;0;0;20;4;20
26689;2023.09.23 12:56:50;0;0;25;0;0;0;25;5;24,98
26688;2023.09.23 12:55:52;0;0;25;0;0;0;25;5;24,98
26687;2023.09.23 12:31:38;50;0;0;0;0;0;50;10;50,06
26686;2023.09.23 11:46:20;100;0;0;0;0;10;90;17,9;89,83
26685;2023.09.23 11:33:40;0;50;0;0;0;0;50;10;50
26684;2023.09.23 11:27:55;0;50;0;0;0;0;50;10;50
26683;2023.09.23 10:19:23;0;0;25;0;0;0;25;5;25,02
26682;2023.09.23 08:49:44;0;25;0;0;0;0;25;5;24,98
26681;2023.09.23 08:36:27;0;0;25;0;0;0;25;5;25,02
26680;2023.09.22 22:15:34;0;10;0;0;0;3;7;1,2;6,35
26679;2023.09.22 22:15:07;0;0;25;0;0;0;25;5;25,02
26678;2023.09.22 22:14:03;0;0;25;0;0;0;25;5;24,98
26677;2023.09.22 21:37:47;0;0;50;0;0;0;50;10;50
26676;2023.09.22 21:36:06;0;0;50;0;0;0;50;10;50
26675;2023.09.22 21:03:00;0;25;0;0;0;0;25;5;24,98
26674;2023.09.22 20:52:50;0;30;0;0;0;5;25;5;25,02
26673;2023.09.22 20:20:31;0;20;0;0;0;0;20;4;20
26672;2023.09.22 20:09:43;100;0;0;0;0;3;97;19,3;96,81
26671;2023.09.22 20:04:13;0;25;0;0;0;0;25;5;25,02
26670;2023.09.22 19:54:15;0;25;0;0;0;0;25;5;24,98
26669;2023.09.22 18:52:29;0;50;0;0;0;0;50;10;50
26668;2023.09.22 18:49:54;0;10;0;0;0;0;10;2;10
26667;2023.09.22 18:47:55;0;0;25;0;0;0;25;5;24,98
26666;2023.09.22 18:29:25;0;25;0;0;0;0;25;5;25,02
26665;2023.09.22 18:28:01;0;25;0;0;0;0;25;5;25,02
26664;2023.09.22 18:24:27;0;0;25;0;0;0;25;5;24,98
26663;2023.09.22 18:22:58;0;25;0;0;0;0;25;5;24,98
26662;2023.09.22 17:33:04;0;25;0;0;0;0;25;5;25,02
26661;2023.09.22 17:19:17;0;0;25;0;0;0;25;5;25,02
26660;2023.09.22 16:16:01;0;50;0;0;0;0;50;10;49,95
26659;2023.09.22 13:31:39;0;25;0;0;0;0;25;5;25,02
26658;2023.09.22 13:23:37;0;25;0;0;0;0;25;5;25,02
26657;2023.09.22 12:40:30;0;32;0;0;0;0;32;6,3;31,95
26656;2023.09.22 11:24:10;0;0;50;0;0;0;50;10;50
26655;2023.09.22 10:55:39;0;25;0;0;0;0;25;5;25,02
26654;2023.09.22 09:01:12;0;20;0;0;0;0;20;4;20
26653;2023.09.22 07:58:59;0;28;0;0;0;0;28;5,6;28
26652;2023.09.21 22:41:19;0;29;0;0;0;0;29;5,8;28,98
26651;2023.09.21 21:56:31;0;10;0;0;0;0;10;2;10
